datetime	do
2020-01-15 20:00	6.82800
2020-01-15 20:30	6.77600
2020-01-15 21:00	6.71600
2020-01-15 21:30	6.70100
2020-01-15 22:00	6.61900
2020-01-15 22:30	6.47500
2020-01-15 23:00	6.22600
2020-01-15 23:30	5.92100
2020-01-16 00:00	5.75500
2020-01-16 00:30	5.69500
2020-01-16 01:00	5.60900
2020-01-16 01:30	5.60000
2020-01-16 02:00	5.57300
2020-01-16 02:30	5.70500
2020-01-16 03:00	5.76500
2020-01-16 03:30	5.77900
2020-01-16 04:00	5.82500
2020-01-16 04:30	5.88400
2020-01-16 05:00	5.87200
2020-01-16 05:30	5.87900
2020-01-16 06:00	5.88000
2020-01-16 06:30	5.81700
2020-01-16 07:00	5.81900
2020-01-16 07:30	5.87400
2020-01-16 08:00	5.92500
2020-01-16 08:30	5.96600
2020-01-16 09:00	5.88900
2020-01-16 09:30	5.82600
2020-01-16 10:00	5.84700
2020-01-16 10:30	5.85000
2020-01-16 11:00	5.78700
2020-01-16 11:30	5.58200
2020-01-16 12:00	5.55100
2020-01-16 12:30	5.50500
2020-01-16 13:00	5.43700
2020-01-16 13:30	5.51100
2020-01-16 14:00	5.45700
2020-01-16 14:30	5.45900
2020-01-16 15:00	5.62200
2020-01-16 15:30	5.71200
2020-01-16 16:00	5.70200
2020-01-16 16:30	5.66400
2020-01-16 17:00	5.62400
2020-01-16 17:30	5.61100
2020-01-16 18:00	5.66400
2020-01-16 18:30	5.69700
2020-01-16 19:00	5.70900
2020-01-16 19:30	5.75500
2020-01-16 20:00	5.75100
2020-01-16 20:30	5.70500
2020-01-16 21:00	5.75400
2020-01-16 21:30	5.71500
2020-01-16 22:00	5.69200
2020-01-16 22:30	5.60900
2020-01-16 23:00	5.61800
2020-01-16 23:30	5.55700
2020-01-17 00:00	5.53200
2020-01-17 00:30	5.44000
2020-01-17 01:00	5.35800
2020-01-17 01:30	5.26900
2020-01-17 02:00	5.23300
2020-01-17 02:30	5.22100
2020-01-17 03:00	5.19300
2020-01-17 03:30	5.28000
2020-01-17 04:00	5.23600
2020-01-17 04:30	5.24800
2020-01-17 05:00	5.21400
2020-01-17 05:30	5.21000
2020-01-17 06:00	5.21000
2020-01-17 06:30	5.18300
2020-01-17 07:00	5.19800
2020-01-17 07:30	5.16400
2020-01-17 08:00	5.15100
2020-01-17 08:30	5.21300
2020-01-17 09:00	5.28300
2020-01-17 09:30	5.30800
2020-01-17 10:00	5.26500
2020-01-17 10:30	5.42200
2020-01-17 11:00	5.45800
2020-01-17 11:30	5.47800
2020-01-17 12:00	5.43500
2020-01-17 12:30	5.42100
2020-01-17 13:00	5.34800
2020-01-17 13:30	5.25000
2020-01-17 14:00	5.20400
2020-01-17 14:30	5.20000
2020-01-17 15:00	5.24500
2020-01-17 15:30	5.34900
2020-01-17 16:00	5.46800
2020-01-17 16:30	5.51600
2020-01-17 17:00	5.46600
2020-01-17 17:30	5.42400
2020-01-17 18:00	5.39300
2020-01-17 18:30	5.34500
2020-01-17 19:00	5.33100
2020-01-17 19:30	5.38400
2020-01-17 20:00	5.49800
2020-01-17 20:30	5.49200
2020-01-17 21:00	5.40000
2020-01-17 21:30	5.39000
2020-01-17 22:00	5.48000
2020-01-17 22:30	5.51700
2020-01-17 23:00	5.43900
2020-01-17 23:30	5.30400
2020-01-18 00:00	5.29900
2020-01-18 00:30	5.27300
2020-01-18 01:00	5.24300
2020-01-18 01:30	5.23100
2020-01-18 02:00	5.15800
2020-01-18 02:30	5.14100
2020-01-18 03:00	5.09500
2020-01-18 03:30	5.08100
2020-01-18 04:00	5.06200
2020-01-18 04:30	5.39300
2020-01-18 05:00	5.13300
2020-01-18 05:30	5.41500
2020-01-18 06:00	5.38700
2020-01-18 06:30	5.47900
2020-01-18 07:00	5.31000
2020-01-18 07:30	5.24500
2020-01-18 08:00	5.31200
2020-01-18 08:30	5.27500
2020-01-18 09:00	5.23400
2020-01-18 09:30	5.38300
2020-01-18 10:00	5.42700
2020-01-18 10:30	5.39400
2020-01-18 11:00	5.41700
2020-01-18 11:30	5.25800
2020-01-18 12:00	5.15000
2020-01-18 12:30	5.23000
2020-01-18 13:00	5.25800
2020-01-18 13:30	5.23300
2020-01-18 14:00	5.19400
2020-01-18 14:30	5.21700
2020-01-18 15:00	5.34600
2020-01-18 15:30	5.28800
2020-01-18 16:00	5.34300
2020-01-18 16:30	5.69200
2020-01-18 17:00	5.80200
2020-01-18 17:30	5.61200
2020-01-18 18:00	5.29300
2020-01-18 18:30	5.44000
2020-01-18 19:00	5.46000
2020-01-18 19:30	5.49600
2020-01-18 20:00	5.50000
2020-01-18 20:30	5.41000
2020-01-18 21:00	5.38200
2020-01-18 21:30	5.47000
2020-01-18 22:00	5.50700
2020-01-18 22:30	5.45600
2020-01-18 23:00	5.55800
2020-01-18 23:30	5.64200
2020-01-19 00:00	5.59600
2020-01-19 00:30	5.72500
2020-01-19 01:00	5.75350
2020-01-19 01:30	5.76850
2020-01-19 02:00	5.78350
2020-01-19 02:30	5.79850
2020-01-19 03:00	5.81350
2020-01-19 03:30	5.82850
2020-01-19 04:00	5.84350
